secao_letra,secao_descricao,cnae,descricao_cnae,,,,,,,secao_letra
C,Indústrias de transformação,20.72-0,Fabricação de tintas de impressão,,,,,,,C
C,Indústrias de transformação,20.73-8,"Fabricação de impermeabilizantes, solventes e produtos afins",,,,,,,C
C,Indústrias de transformação,20.91-6,Fabricação de adesivos e selantes,,,,,,,C
C,Indústrias de transformação,20.92-4,Fabricação de explosivos,,,,,,,C
C,Indústrias de transformação,20.92-4,Fabricação de explosivos,,,,,,,C
C,Indústrias de transformação,20.93-2,Fabricação de aditivos de uso industrial,,,,,,,C
C,Indústrias de transformação,20.94-1,Fabricação de catalisadores,,,,,,,C
C,Indústrias de transformação,20.99-1,Fabricação de produtos químicos não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,20.99-1,Fabricação de produtos químicos não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,21.10-6,Fabricação de produtos farmoquímicos,,,,,,,C
C,Indústrias de transformação,21.21-1,Fabricação de medicamentos para uso humano,,,,,,,C
C,Indústrias de transformação,21.22-0,Fabricação de medicamentos para uso veterinário,,,,,,,C
C,Indústrias de transformação,21.23-8,Fabricação de preparações farmacêuticas,,,,,,,C
C,Indústrias de transformação,21.23-8,Fabricação de preparações farmacêuticas,,,,,,,C
C,Indústrias de transformação,22.11-1,Fabricação de pneumáticos e de câmaras-de-ar,,,,,,,C
C,Indústrias de transformação,22.12-9,Reforma de pneumáticos usados,,,,,,,C
C,Indústrias de transformação,22.19-6,Fabricação de artefatos de borracha não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,22.21-8,Fabricação de laminados planos e tubulares de material plástico,,,,,,,C
C,Indústrias de transformação,22.22-6,Fabricação de embalagens de material plástico,,,,,,,C
C,Indústrias de transformação,22.23-4,Fabricação de tubos e acessórios de material plástico para uso na construção,,,,,,,C
C,Indústrias de transformação,22.29-3,Fabricação de artefatos de material plástico não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,22.29-3,Fabricação de artefatos de material plástico não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,23.11-7,Fabricação de vidro plano e de segurança,,,,,,,C
C,Indústrias de transformação,23.12-5,Fabricação de embalagens de vidro,,,,,,,C
C,Indústrias de transformação,23.19-2,Fabricação de artigos de vidro,,,,,,,C
C,Indústrias de transformação,23.20-6,Fabricação de cimento,,,,,,,C
C,Indústrias de transformação,23.30-3,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",,,,,,,C
C,Indústrias de transformação,23.41-9,Fabricação de produtos cerâmicos refratários,,,,,,,C
C,Indústrias de transformação,23.42-7,Fabricação de produtos cerâmicos não-refratários para uso estrutural na construção,,,,,,,C
C,Indústrias de transformação,23.49-4,Fabricação de produtos cerâmicos não-refratários não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,23.91-5,Aparelhamento e outros trabalhos em pedras,,,,,,,C
C,Indústrias de transformação,23.92-3,Fabricação de cal e gesso,,,,,,,C
C,Indústrias de transformação,23.99-1,Fabricação de produtos de minerais não-metálicos não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,23.99-1,Fabricação de produtos de minerais não-metálicos não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,24.11-3,Produção de ferro-gusa,,,,,,,C
C,Indústrias de transformação,24.12-1,Produção de ferroligas,,,,,,,C
C,Indústrias de transformação,24.21-1,Produção de semi-acabados de aço,,,,,,,C
C,Indústrias de transformação,24.22-9,Produção de laminados planos de aço,,,,,,,C
C,Indústrias de transformação,24.23-7,Produção de laminados longos de aço,,,,,,,C
C,Indústrias de transformação,24.24-5,"Produção de relaminados, trefilados e perfilados de aço",,,,,,,C
C,Indústrias de transformação,24.31-8,Produção de tubos de aço com costura,,,,,,,C
